Date;BTC - Price;ETH - Price;MANA - Price;DJI - Price;NQZ25 - Price;SPVIXETR - Price;XAG - Price;XAU - Price;XU100 - Price
5.12.2025;89,333.6;3,021.84;0.1515;47,954.99;25,732.00;18,185.748;318.46;4,197.25;11,007.37
4.12.2025;92,082.8;3,133.00;0.1545;47,850.94;25,622.75;18,337.270;319.29;4,208.69;10,918.51
3.12.2025;93,437.2;3,188.79;0.1627;47,882.90;25,657.50;18,452.697;318.01;4,206.22;11,036.82
2.12.2025;91,287.6;2,996.10;0.1593;47,474.46;25,606.00;18,492.678;319.14;4,208.14;11,123.47
1.12.2025;86,309.1;2,800.86;0.1513;47,289.33;25,391.25;18,656.600;324.58;4,232.73;11,116.45
28.11.2025;90,894.7;3,031.22;0.1681;47,716.42;25,482.00;18,694.410;324.59;4,230.63;10,898.70
26.11.2025;90,496.5;3,026.95;0.1689;47,427.12;25,302.25;18,887.189;316.85;4,164.59;10,914.65
25.11.2025;87,366.8;2,960.07;0.169;47,112.45;25,085.50;19,132.580;301.82;4,131.15;10,857.17
24.11.2025;88,296.5;2,953.44;0.1713;46,448.27;24,948.25;19,463.180;299.78;4,139.70;10,888.02
21.11.2025;85,131.0;2,766.76;0.1656;46,245.41;24,305.50;20,267.574;284.12;4,065.90;10,922.86
20.11.2025;86,613.9;2,832.98;0.1783;45,752.26;24,131.50;20,579.883;281.81;4,077.50;10,979.73
19.11.2025;91,544.1;3,025.72;0.189;46,138.77;24,721.75;19,985.355;296.82;4,081.66;10,903.91
18.11.2025;92,962.3;3,123.73;0.198;46,091.74;24,595.75;20,128.977;292.9;4,067.88;10,728.60
17.11.2025;92,195.0;3,030.18;0.1922;46,590.24;24,879.00;19,855.422;289.48;4,044.61;10,698.13
14.11.2025;94,554.3;3,113.03;0.2035;47,147.48;25,094.00;19,426.883;294.43;4,079.58;10,565.74
13.11.2025;99,728.7;3,232.94;0.2119;47,457.22;25,094.75;19,730.789;297.06;4,171.46;10,628.63
12.11.2025;101,658.3;3,413.60;0.2202;48,254.82;25,623.75;19,092.895;305.08;4,198.73;10,640.86
11.11.2025;103,046.7;3,417.56;0.2239;47,927.96;25,640.75;19,018.963;294.99;4,126.68;10,576.45
10.11.2025;106,006.9;3,567.87;0.2382;47,368.63;25,714.50;18,950.145;291.48;4,115.90;10,789.03
7.11.2025;103,325.4;3,435.78;0.2372;46,987.10;25,166.25;19,275.039;278.53;3,999.72;10,924.53
6.11.2025;101,325.7;3,314.43;0.212;46,912.30;25,244.25;19,375.928;271.88;3,977.87;11,073.27
5.11.2025;103,896.7;3,424.74;0.212;47,311.00;25,746.25;19,104.029;272.02;3,982.62;10,970.37
4.11.2025;101,504.3;3,289.11;0.2007;47,085.24;25,575.25;19,579.016;265.03;3,932.05;10,914.10
3.11.2025;106,578.1;3,603.63;0.2089;47,336.68;26,103.25;19,220.082;277.56;4,001.67;11,060.39
31.10.2025;109,602.8;3,848.00;0.2269;47,562.87;26,004.00;19,129.803;279.67;4,002.28;10,971.52
30.10.2025;108,320.1;3,803.00;0.2222;47,522.12;25,882.75;19,008.404;283.8;4,024.47;10,837.30
28.10.2025;112,905.8;3,979.45;0.2358;47,706.37;26,163.50;18,662.322;278.09;3,952.58;10,871.08
27.10.2025;114,108.0;4,120.90;0.2411;47,544.59;25,963.75;18,413.090;274.58;3,981.59;10,853.43
24.10.2025;111,013.1;3,934.75;0.243;47,207.12;25,509.25;18,653.158;285.59;4,112.10;10,941.79
23.10.2025;110,078.9;3,856.73;0.2344;46,734.61;25,254.00;18,859.158;288.0;4,126.17;10,608.26
22.10.2025;107,587.5;3,805.16;0.2288;46,590.41;25,039.25;19,030.367;285.58;4,094.07;10,551.34
21.10.2025;108,340.9;3,874.27;0.2322;46,924.74;25,294.75;18,957.543;283.99;4,125.10;10,467.20
20.10.2025;110,544.0;3,979.43;0.2402;46,706.58;25,305.25;18,903.014;314.03;4,356.50;10,484.39
17.10.2025;106,443.5;3,831.60;0.2277;46,190.61;24,986.50;19,721.666;306.01;4,249.98;10,208.76
16.10.2025;108,204.8;3,894.48;0.2482;45,952.24;24,831.25;20,488.480;329.32;4,326.18;10,370.78
15.10.2025;110,767.4;3,985.52;0.2581;46,253.31;24,924.50;19,729.691;318.47;4,208.58;10,464.48
